ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 35004,12045,2088,886,1200,17.3,7.4,10.0
ZCTA5 35005,7344,788,612,968,10.7,8.3,13.2
ZCTA5 35006,2883,183,296,430,6.3,10.3,14.9
ZCTA5 35007,26332,3119,1665,3907,11.8,6.3,14.8
ZCTA5 35010,20613,2513,1512,2950,12.2,7.3,14.3
ZCTA5 35013,46,0,0,31,0.0,0.0,67.4
ZCTA5 35014,4963,479,223,926,9.7,4.5,18.7
ZCTA5 35016,17208,2103,1126,2101,12.2,6.5,12.2
ZCTA5 35019,2492,335,261,316,13.4,10.5,12.7
ZCTA5 35020,25757,3352,1807,2970,13.0,7.0,11.5
ZCTA5 35022,21587,3132,1547,2782,14.5,7.2,12.9
ZCTA5 35023,23523,3006,1567,3178,12.8,6.7,13.5
ZCTA5 35031,7779,1043,521,1405,13.4,6.7,18.1
ZCTA5 35032,44,2,6,10,4.5,13.6,22.7
ZCTA5 35033,2946,141,298,362,4.8,10.1,12.3
ZCTA5 35034,6416,1324,315,1192,20.6,4.9,18.6
ZCTA5 35035,821,69,89,252,8.4,10.8,30.7
ZCTA5 35036,204,31,19,22,15.2,9.3,10.8
ZCTA5 35040,17311,2726,784,2177,15.7,4.5,12.6
ZCTA5 35042,6078,598,401,837,9.8,6.6,13.8
ZCTA5 35043,12153,1372,612,1650,11.3,5.0,13.6
ZCTA5 35044,7409,907,308,974,12.2,4.2,13.1
ZCTA5 35045,15143,2138,930,1868,14.1,6.1,12.3
ZCTA5 35046,5017,644,464,578,12.8,9.2,11.5
ZCTA5 35049,3856,501,206,644,13.0,5.3,16.7
ZCTA5 35051,9838,1277,743,1325,13.0,7.6,13.5
ZCTA5 35052,283,51,14,49,18.0,4.9,17.3
ZCTA5 35053,2398,202,188,541,8.4,7.8,22.6
ZCTA5 35054,4318,433,510,404,10.0,11.8,9.4
ZCTA5 35055,21153,2597,1322,2620,12.3,6.2,12.4
ZCTA5 35057,14187,2058,858,1934,14.5,6.0,13.6
ZCTA5 35058,8630,1422,675,1227,16.5,7.8,14.2
ZCTA5 35060,272,0,0,22,0.0,0.0,8.1
ZCTA5 35061,1130,171,76,82,15.1,6.7,7.3
ZCTA5 35062,7904,745,561,840,9.4,7.1,10.6
ZCTA5 35063,3629,473,243,513,13.0,6.7,14.1
ZCTA5 35064,11048,1454,635,1209,13.2,5.7,10.9
ZCTA5 35068,7967,1165,600,1086,14.6,7.5,13.6
ZCTA5 35070,296,37,25,37,12.5,8.4,12.5
